season,race_id,gc_position,rider_id,stage,bib_number,team_id,team_name_invitational,gender,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date
2023,677,1,44684,GC,14,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,2,185119,GC,176,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,3,31291,GC,21,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,4,46432,GC,164,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,5,130983,GC,72,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,6,35273,GC,26,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,7,40223,GC,12,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,8,6424,GC,22,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,9,23091,GC,2,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,10,72955,GC,32,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,11,23070,GC,11,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,12,12347,GC,46,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,13,88846,GC,51,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,14,111717,GC,193,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,15,18161,GC,61,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,16,9495,GC,31,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,17,123177,GC,131,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,18,180404,GC,171,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,19,8600,GC,23,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,20,75666,GC,202,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,21,14836,GC,33,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,22,30181,GC,154,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,23,5671,GC,185,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,24,75665,GC,201,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,25,103992,GC,3,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,26,54974,GC,151,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,27,57025,GC,204,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,28,31292,GC,41,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,29,206319,GC,145,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,30,43905,GC,91,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,31,57450,GC,17,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,32,111668,GC,52,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,33,107569,GC,186,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,34,191798,GC,182,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,35,47321,GC,34,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,36,84388,GC,162,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,37,25650,GC,191,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,38,45700,GC,175,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,39,82730,GC,196,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,40,55559,GC,5,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,41,104926,GC,65,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,42,73908,GC,63,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,43,35434,GC,205,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,44,34593,GC,192,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,45,43914,GC,42,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,46,54915,GC,194,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,47,23099,GC,153,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,48,82649,GC,53,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,49,34568,GC,103,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,50,74958,GC,93,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,51,73238,GC,54,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,52,202681,GC,156,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,53,138976,GC,136,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,54,62780,GC,44,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,55,45900,GC,203,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,56,43877,GC,94,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,57,83419,GC,76,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,58,58638,GC,134,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,59,48892,GC,15,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,60,164728,GC,4,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,61,37206,GC,56,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,62,76345,GC,85,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,63,49703,GC,74,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,64,14806,GC,161,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,65,206315,GC,106,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,66,35761,GC,81,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,67,88843,GC,35,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,68,16572,GC,24,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,69,189623,GC,112,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,70,132728,GC,183,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,71,51374,GC,166,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,72,58456,GC,64,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,73,16748,GC,174,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,74,49071,GC,163,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,75,87353,GC,101,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,76,59700,GC,146,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,77,116513,GC,173,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,78,167226,GC,142,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,79,43924,GC,92,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,80,110398,GC,125,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,81,8517,GC,165,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,82,77092,GC,114,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,83,187532,GC,124,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,84,33706,GC,133,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,85,54571,GC,122,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,86,110950,GC,36,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,87,104675,GC,181,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,88,43886,GC,135,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,56640,GC,6,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,43956,GC,1,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,206316,GC,115,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,191957,GC,111,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,190260,GC,113,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,192894,GC,116,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,180405,GC,172,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,48974,GC,25,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,73685,GC,132,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,112501,GC,95,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,65143,GC,96,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,25098,GC,45,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,33675,GC,43,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,82655,GC,73,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,43879,GC,75,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,35763,GC,71,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,43917,GC,121,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,206317,GC,126,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,196753,GC,123,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,50717,GC,16,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,72957,GC,104,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,61823,GC,105,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,45420,GC,102,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,123101,GC,84,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,43913,GC,82,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,196729,GC,86,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,56001,GC,83,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,43900,GC,55,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,181009,GC,155,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,72926,GC,152,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,88476,GC,184,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,111672,GC,62,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,78072,GC,66,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,6567,GC,141,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,206318,GC,144,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,196728,GC,143,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,74618,GC,206,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,30063,GC,195,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08