"","season","first_cycling_team_id","team_name","uci_division_name"
"1",2024,28019,"Alpecin-Deceuninck","UCI Men's World Tour"
"2",2024,27967,"ARKEA-B&amp;B HOTELS","UCI Men's World Tour"
"3",2024,28055,"Astana Qazaqstan Team","UCI Men's World Tour"
"4",2024,28325,"Bahrain Victorious","UCI Men's World Tour"
"5",2024,22247,"BORA-hansgrohe","UCI Men's World Tour"
"6",2024,31944,"Cofidis","UCI Men's World Tour"
"7",2024,23295,"Decathlon AG2R La Mondiale Team","UCI Men's World Tour"
"8",2024,32813,"EF Education-EasyPost","UCI Men's World Tour"
"9",2024,21816,"Groupama-FDJ","UCI Men's World Tour"
"10",2024,28581,"INEOS Grenadiers","UCI Men's World Tour"
"11",2024,27899,"Intermarché-Wanty","UCI Men's World Tour"
"12",2024,25887,"Lidl-Trek","UCI Men's World Tour"
"13",2024,28077,"Movistar Team","UCI Men's World Tour"
"14",2024,26329,"Soudal Quick-Step","UCI Men's World Tour"
"15",2024,21835,"Team dsm-firmenich PostNL","UCI Men's World Tour"
"16",2024,28999,"Team Jayco-AlUla","UCI Men's World Tour"
"17",2024,24737,"Team Visma | Lease a Bike","UCI Men's World Tour"
"18",2024,21841,"UAE Team Emirates","UCI Men's World Tour"
"19",2024,32899,"Bingoal WB","UCI Men's Pro Conti"
"20",2024,31611,"Burgos-BH","UCI Men's Pro Conti"
"21",2024,32764,"Caja Rural-Seguros RGA","UCI Men's Pro Conti"
"22",2024,32170,"Equipo Kern Pharma","UCI Men's Pro Conti"
"23",2024,31866,"Euskaltel-Euskadi","UCI Men's Pro Conti"
"24",2024,27923,"Israel-Premier Tech","UCI Men's Pro Conti"
"25",2024,27882,"Lotto Dstny","UCI Men's Pro Conti"
"26",2024,33681,"Q36.5 Pro Cycling Team","UCI Men's Pro Conti"
"27",2024,39513,"TdT-Unibet","UCI Men's Pro Conti"
"28",2024,34139,"Team corratec - Vini Fantini","UCI Men's Pro Conti"
"29",2024,32900,"Team Flanders-Baloise","UCI Men's Pro Conti"
"30",2024,39346,"Team Novo Nordisk","UCI Men's Pro Conti"
"31",2024,31485,"Team Polti Kometa","UCI Men's Pro Conti"
"32",2024,31901,"TotalEnergies","UCI Men's Pro Conti"
"33",2024,34245,"Tudor Pro Cycling Team","UCI Men's Pro Conti"
"34",2024,27165,"Uno-X Mobility","UCI Men's Pro Conti"
"35",2024,32811,"VF Group-Bardiani CSF-Faizanè","UCI Men's Pro Conti"
"36",2024,39529,"ABTF Betão - Feirense","Men's Conti"
"37",2024,40912,"Adria Mobil","Men's Conti"
"38",2024,40513,"Airtox - Carl Ras","Men's Conti"
"39",2024,39676,"Aisan Racing Team","Men's Conti"
"40",2024,40816,"Albiono Pro Cycling","Men's Conti"
"41",2024,41006,"Almaty Astana Motors","Men's Conti"
"42",2024,38374,"Alpecin-Deceuninck Development Team","Men's Conti"
"43",2024,39619,"AP Hotels &amp; Resorts - Tavira - SC Farense","Men's Conti"
"44",2024,40713,"ARA | Skip Capital","Men's Conti"
"45",2024,38991,"ARKEA-B&amp;B HOTELS Development Team","Men's Conti"
"46",2024,40466,"Astana Qazaqstan Development Team","Men's Conti"
"47",2024,40286,"ATT Investments","Men's Conti"
"48",2024,40623,"Aviludo - Louletano - Loulé Concelho","Men's Conti"
"49",2024,39226,"BEAT Cycling Club","Men's Conti"
"50",2024,40484,"Beltrami TSA-Tre Colli","Men's Conti"
"51",2024,40624,"Beykoz Belediyesi Spor Kulübü","Men's Conti"
"52",2024,39440,"BHS-PL Beton Bornholm","Men's Conti"
"53",2024,39336,"Biesse-Carrera","Men's Conti"
"54",2024,39791,"BIKE AID","Men's Conti"
"55",2024,39790,"Bingoal WB Devo Team","Men's Conti"
"56",2024,41007,"Bodywrap LTWOO Cycling Team","Men's Conti"
"57",2024,40781,"Canels-ZeroUno","Men's Conti"
"58",2024,40739,"CCACHE x Par Küp","Men's Conti"
"59",2024,41008,"Chengdu Cycling Team","Men's Conti"
"60",2024,40927,"Chimbas te Quiero","Men's Conti"
"61",2024,40892,"China Glory-Mentech Continental Cycling Team","Men's Conti"
"62",2024,33041,"CIC U Nantes Atlantique","Men's Conti"
"63",2024,40788,"Colombia Potencia de la Vida","Men's Conti"
"64",2024,39543,"Credibom - LA Alumínios - Marcos Car","Men's Conti"
"65",2024,39324,"CTF Victorious","Men's Conti"
"66",2024,38702,"Decathlon AG2R La Mondiale Development Team","Men's Conti"
"67",2024,32682,"Development Team dsm-firmenich PostNL","Men's Conti"
"68",2024,40727,"Diftar Continental Cycling Team","Men's Conti"
"69",2024,40459,"Dukla Banská Bystrica","Men's Conti"
"70",2024,40981,"EC Municipalidad de Pocito","Men's Conti"
"71",2024,39433,"Efapel Cycling","Men's Conti"
"72",2024,40304,"Elkov-Kasper","Men's Conti"
"73",2024,41134,"Epronex-Hungary Cycling Team","Men's Conti"
"74",2024,39305,"EuroCyclingTrips","Men's Conti"
"75",2024,40711,"Ferei Quick-Panda Podium Mongolia Team","Men's Conti"
"76",2024,40374,"Gallina Ecotek Lucchini","Men's Conti"
"77",2024,39361,"General Store-Essegibi-F.Ili Curia","Men's Conti"
"78",2024,41034,"Geumsan Insam Cello","Men's Conti"
"79",2024,41009,"Giant Cycling Team","Men's Conti"
"80",2024,40257,"Global 6 United","Men's Conti"
"81",2024,41010,"Grant Thornton Cycling Team","Men's Conti"
"82",2024,32914,"Groupama-FDJ Conti","Men's Conti"
"83",2024,40787,"GW Erco Shimano","Men's Conti"
"84",2024,32781,"Hagens Berman Axeon - Jayco","Men's Conti"
"85",2024,41012,"Hebei Continental Team","Men's Conti"
"86",2024,40820,"Hengxiang Cycling Team","Men's Conti"
"87",2024,40725,"Hrinkow Advarics","Men's Conti"
"88",2024,40229,"Huansheng -SCOM - Taishan Sport Team","Men's Conti"
"89",2024,40605,"Hustle Pro Cycling","Men's Conti"
"90",2024,40792,"Illes Balears-Arabay Cycling","Men's Conti"
"91",2024,39270,"Israel Premier Tech Academy","Men's Conti"
"92",2024,39806,"Java-Inovotec","Men's Conti"
"93",2024,39675,"JCL Team UKYO","Men's Conti"
"94",2024,40729,"Kamen Pazin - Cabo de Peñas","Men's Conti"
"95",2024,39527,"Kelly - Simoldes - UDO","Men's Conti"
"96",2024,39807,"KINAN Racing Team","Men's Conti"
"97",2024,41089,"Konya Buyuksehir Belediye SK","Men's Conti"
"98",2024,40696,"Levante Fuji Shizuoka","Men's Conti"
"99",2024,40627,"Li Ning Star","Men's Conti"
"100",2024,39310,"Lidl-Trek Future Racing","Men's Conti"
"101",2024,41017,"Lillehammer CK","Men's Conti"
"102",2024,40714,"Ljubljana Gusto Santic","Men's Conti"
"103",2024,39200,"Lotto Dstny Development Team","Men's Conti"
"104",2024,40722,"Lubelskie Perla Polski","Men's Conti"
"105",2024,40631,"Malaysia Pro Cycling","Men's Conti"
"106",2024,40728,"Maloja Pushbikers","Men's Conti"
"107",2024,41035,"Matrix Powertag","Men's Conti"
"108",2024,40798,"May Stars","Men's Conti"
"109",2024,40630,"Mazowsze Serce Polski","Men's Conti"
"110",2024,40440,"Mentorise Elite Team","Men's Conti"
"111",2024,39424,"Metec-SOLARWATT pb Mantel","Men's Conti"
"112",2024,40478,"MG.K vis Colors for Peace VPM","Men's Conti"
"113",2024,40740,"MitoQ-NZ Cycling Project","Men's Conti"
"114",2024,40953,"Motala AIF Serneke Allebike","Men's Conti"
"115",2024,40601,"Movistar-Best PC","Men's Conti"
"116",2024,40928,"Municipalidad de Rawson","Men's Conti"
"117",2024,40254,"MYVELO Pro Cycling Team","Men's Conti"
"118",2024,39044,"Nice Métropole Côte d'Azur","Men's Conti"
"119",2024,40210,"Novapor Speedbike","Men's Conti"
"120",2024,40715,"Nu Colombia","Men's Conti"
"121",2024,40785,"Nusantara Cycling Team","Men's Conti"
"122",2024,40786,"Orgullo Paisa","Men's Conti"
"123",2024,40625,"P&amp;S Metalltechnik Benotti","Men's Conti"
"124",2024,40784,"Panamá es Cultura y Valores","Men's Conti"
"125",2024,40358,"Parkhotel Valkenburg","Men's Conti"
"126",2024,39263,"Philippe Wagner-Bazin","Men's Conti"
"127",2024,41019,"Plus Performance","Men's Conti"
"128",2024,40724,"Project Echelon Racing","Men's Conti"
"129",2024,41020,"Q36.5 Continental Cycling Team","Men's Conti"
"130",2024,40250,"Rad-Net Osswald","Men's Conti"
"131",2024,33212,"Radio Popular-Paredes-Boavista","Men's Conti"
"132",2024,39808,"REMBE Pro Cycling Team Sauerland","Men's Conti"
"133",2024,40270,"Rime","Men's Conti"
"134",2024,40233,"Roojai Online Insurance","Men's Conti"
"135",2024,40380,"RRK Group-Pierre Baguette-Benzinol","Men's Conti"
"136",2024,34140,"Sabgal - Anicolor Cycling Team","Men's Conti"
"137",2024,39489,"Saint Michel-Mavic-Auber 93","Men's Conti"
"138",2024,39521,"Saint Piran","Men's Conti"
"139",2024,41090,"Sakarya BB Pro Team","Men's Conti"
"140",2024,40319,"Santic-Wibatech","Men's Conti"
"141",2024,40719,"Sava Kranj Cycling","Men's Conti"
"142",2024,40782,"SEP San Juan","Men's Conti"
"143",2024,40773,"Shimano Racing","Men's Conti"
"144",2024,40473,"Sidi Ali-Unlock Team","Men's Conti"
"145",2024,39316,"Soudal Quick-Step Devo Team","Men's Conti"
"146",2024,40818,"Sparkle Oita Racing Team","Men's Conti"
"147",2024,41088,"Spor Toto Cycling Team","Men's Conti"
"148",2024,40737,"St George Continental Cycling Team","Men's Conti"
"149",2024,41021,"Stamina Racing","Men's Conti"
"150",2024,41070,"SuezCanalDiscovery","Men's Conti"
"151",2024,40783,"SwiftCarbon Pro Cycling","Men's Conti"
"152",2024,39259,"Tarteletto-Isorex","Men's Conti"
"153",2024,41022,"Tashkent City Professional Cycling Team","Men's Conti"
"154",2024,39744,"Tavfer - Ovos Matinados - Mortágua ","Men's Conti"
"155",2024,40720,"Team Banco Guayaquil","Men's Conti"
"156",2024,40712,"Team BridgeLane","Men's Conti"
"157",2024,40756,"Team Bridgestone Cycling","Men's Conti"
"158",2024,39236,"Team Coloquick","Men's Conti"
"159",2024,39189,"Team Coop-Repsol","Men's Conti"
"160",2024,39740,"Team Felt-Felbermayr","Men's Conti"
"161",2024,40298,"Team Lotto-Kern Haus","Men's Conti"
"162",2024,40600,"Team Madar","Men's Conti"
"163",2024,39315,"Team MBH Bank - Colpack Ballan CSB","Men's Conti"
"164",2024,40483,"Team Medellin-EPM","Men's Conti"
"165",2024,41023,"Team Novo Nordisk Development","Men's Conti"
"166",2024,40382,"Team Petrolike - Androni Giocatolli Sidermec","Men's Conti"
"167",2024,41371,"Team Saitel","Men's Conti"
"168",2024,40522,"Team Sistecredito-GW","Men's Conti"
"169",2024,40519,"Team Skyline","Men's Conti"
"170",2024,40251,"Team Storck-Metropol Cycling","Men's Conti"
"171",2024,40477,"Team Technipes #InEmiliaRomagna","Men's Conti"
"172",2024,31868,"Team Visma | Lease a Bike Development","Men's Conti"
"173",2024,40516,"Team Vorarlberg","Men's Conti"
"174",2024,41024,"Terengganu Cycling Team","Men's Conti"
"175",2024,41025,"Thailand Continental Cycling Team","Men's Conti"
"176",2024,41026,"Tianyoude Hotel Cycling Team","Men's Conti"
"177",2024,39778,"Tirol KTM Cycling Team","Men's Conti"
"178",2024,40626,"Trinity Racing","Men's Conti"
"179",2024,39377,"Tudor Pro Cycling Team U23","Men's Conti"
"180",2024,40721,"Tufo-Pardus Prostejov","Men's Conti"
"181",2024,40525,"UAE Gen Z","Men's Conti"
"182",2024,40738,"Universe Cycling Team","Men's Conti"
"183",2024,32662,"Uno-X Mobility Development Team","Men's Conti"
"184",2024,39677,"Utsunomiya Blitzen","Men's Conti"
"185",2024,39694,"Van Rysel-Roubaix","Men's Conti"
"186",2024,40699,"VC Fukuoka","Men's Conti"
"187",2024,40700,"Velolien Matsuyama","Men's Conti"
"188",2024,40698,"Victoire Hiroshima","Men's Conti"
"189",2024,40437,"Victoria Sports Cycling Team","Men's Conti"
"190",2024,40439,"Vini Monzon-Savini Due-OMZ","Men's Conti"
"191",2024,41027,"Vino SKO Team","Men's Conti"
"192",2024,39609,"VolkerWessels Cycling Team","Men's Conti"
"193",2024,40710,"Voltas - Tartu 2024 by CCN","Men's Conti"
"194",2024,40723,"Voster ATS Team","Men's Conti"
"195",2024,32920,"Wanty-ReUz-Technord","Men's Conti"
"196",2024,40436,"Work Service-Vitalcare-Dynatek","Men's Conti"
"197",2024,40726,"WSA KTM Graz p/b Leomo","Men's Conti"
"198",2024,40256,"XSpeed United Continental","Men's Conti"
"199",2024,40269,"Zalf Euromobil Désirée Fior","Men's Conti"
"200",2024,41388," Antalyaspor Kulubu","Men's Junior"
"201",2024,41234," PCE Teno","Men's Junior"
"202",2024,41335,"!speed Felt","Men's Junior"
"203",2024,40801,"33 Bike Mobel Proteam","Men's Junior"
"204",2024,41256,"3xtreme NL","Men's Junior"
"205",2024,40873,"501 Valvoline","Men's Junior"
"206",2024,40943,"7C-Economy Lacoinex","Men's Junior"
"207",2024,40908,"A.C.Gamu","Men's Junior"
"208",2024,41166,"A.D.Alex Jimenez Cyc","Men's Junior"
"209",2024,41351,"A13 Academy","Men's Junior"
"210",2024,41257,"ABH Team","Men's Junior"
"211",2024,41071,"Abu Dhabi Cycling Club","Men's Junior"
"212",2024,39539,"AC Bisontine","Men's Junior"
"213",2024,41241,"ACCPTFE","Men's Junior"
"214",2024,41183,"Active Performance CA","Men's Junior"
"215",2024,41389,"Adana Genclik VE SK","Men's Junior"
"216",2024,41111,"Adelaide MBC","Men's Junior"
"217",2024,40297,"Aevolo","Men's Junior"
"218",2024,41258,"Airwerks Racing","Men's Junior"
"219",2024,41298,"Aki Rising Bicycle Team","Men's Junior"
"220",2024,41073,"Al Wathba Cycling Team","Men's Junior"
"221",2024,41076,"Al-Fateh Sports Club","Men's Junior"
"222",2024,41347,"Aladam","Men's Junior"
"223",2024,41390,"Alanyaspor Kulubu","Men's Junior"
"224",2024,41063,"Alas Rojas de Santa Lucia","Men's Junior"
"225",2024,41358,"All Cycling Team","Men's Junior"
"226",2024,41078,"All Human-VeloRevolution","Men's Junior"
"227",2024,40993,"All India Police","Men's Junior"
"228",2024,40874,"Alliance  United","Men's Junior"
"229",2024,41112,"Alpine Cycling Club","Men's Junior"
"230",2024,41190,"amino VITAL - LAS Racing","Men's Junior"
"231",2024,41057,"Aminorip","Men's Junior"
"232",2024,41217,"Amman Club","Men's Junior"
"233",2024,40505,"Angoulême VC U19","Men's Junior"
"234",2024,41325,"ARAKAWA Pista stile","Men's Junior"
"235",2024,39746,"Aran Cucine Vejus","Men's Junior"
"236",2024,40733,"Aranako-Sima-Cepial","Men's Junior"
"237",2024,40515,"ARBÖ MiKo PV ON-Fahrrad","Men's Junior"
"238",2024,41352,"ARCVTPN 972 du Marin","Men's Junior"
"239",2024,41065,"Armonia CC","Men's Junior"
"240",2024,41247,"Arrecifas","Men's Junior"
"241",2024,41286,"ARTIFACT Racing Team","Men's Junior"
"242",2024,39747,"Arvedi Cycling ASD","Men's Junior"
"243",2024,39749,"ASD Cattoli Andrea","Men's Junior"
"244",2024,39750,"ASD Garlaschese","Men's Junior"
"245",2024,39751,"ASD SC Reda Mokador","Men's Junior"
"246",2024,41319,"ASMIC","Men's Junior"
"247",2024,39743,"ASPTT Nancy","Men's Junior"
"248",2024,41140,"Atenas de Soriano","Men's Junior"
"249",2024,41141,"Ateneo de Piriapolis","Men's Junior"
"250",2024,40921,"Audax de Flores","Men's Junior"
"251",2024,40262,"AVC Aix-en-Provence","Men's Junior"
"252",2024,40804,"Avenir Cycling Yamanashi","Men's Junior"
"253",2024,40879,"Avimosa-Chozas Team","Men's Junior"
"254",2024,40511,"Avinal GW El Carmen Viboral","Men's Junior"
"255",2024,40869,"Balmoral Cycling Club","Men's Junior"
"256",2024,40271,"Basso Team Flanders","Men's Junior"
"257",2024,40918,"Beaupréau V.S.","Men's Junior"
"258",2024,40805,"Bellmare Racing Team","Men's Junior"
"259",2024,40825,"Bendigo &amp; District CC","Men's Junior"
"260",2024,40881,"Bendigo District C.C-Junior","Men's Junior"
"261",2024,41054,"Best Buddies Racing","Men's Junior"
"262",2024,40755,"Béziers Méditerranée Cyclisme","Men's Junior"
"263",2024,40923,"Bialini Gomola CCN","Men's Junior"
"264",2024,40976,"Bicipan","Men's Junior"
"265",2024,41338,"Big Orange Cycling","Men's Junior"
"266",2024,40997,"Bihar","Men's Junior"
"267",2024,40602,"BIKE AID Development","Men's Junior"
"268",2024,41250,"Bike Zone Nuevo Leon","Men's Junior"
"269",2024,40959,"Bingo Shimanami eNShare","Men's Junior"
"270",2024,40857,"Blackburn CC","Men's Junior"
"271",2024,40882,"Blackburn CC U19","Men's Junior"
"272",2024,40835,"Blackshaw Racing","Men's Junior"
"273",2024,41294,"Bonne Chance ACA","Men's Junior"
"274",2024,39410,"Bourg-en-Bresse Ain Cyclisme","Men's Junior"
"275",2024,40970,"Boyaca Avanza","Men's Junior"
"276",2024,41222,"Boyacá es para Vivirla","Men's Junior"
"277",2024,41244,"Bragado Cycles Club","Men's Junior"
"278",2024,41300,"Brezza - Kamihagi","Men's Junior"
"279",2024,40364,"Brocar-Ale","Men's Junior"
"280",2024,40510,"Brocoli Mecánico-Sakata","Men's Junior"
"281",2024,41339,"Bros Ride Bike","Men's Junior"
"282",2024,40841,"Brunswick C.C.","Men's Junior"
"283",2024,41332,"ButcherBox Cycling","Men's Junior"
"284",2024,41137,"C.A,Peñarol de Colonia","Men's Junior"
"285",2024,41139,"C.A.Sarandi de Colonia","Men's Junior"
"286",2024,41138,"C.A.Sarandi de Colonia","Men's Junior"
"287",2024,40902,"C.C. Ñielol","Men's Junior"
"288",2024,41173,"C.C.Algar","Men's Junior"
"289",2024,40963,"C.C.Astorga","Men's Junior"
"290",2024,40972,"C.C.Catral-Telfy","Men's Junior"
"291",2024,40919,"C.C.Cerro Largo","Men's Junior"
"292",2024,41248,"C.C.Ciutat de Reus","Men's Junior"
"293",2024,41149,"C.C.Douglas Gilles","Men's Junior"
"294",2024,40920,"C.C.Fenix","Men's Junior"
"295",2024,41185,"C.C.Gemburi","Men's Junior"
"296",2024,40701,"C.C.Le Boulou","Men's Junior"
"297",2024,41142,"C.C.Los Magos","Men's Junior"
"298",2024,40899,"C.C.Melipulli","Men's Junior"
"299",2024,41144,"C.C.Minas","Men's Junior"
"300",2024,41272,"C.C.Oscense","Men's Junior"
"301",2024,40897,"C.C.Patagonia Austral","Men's Junior"
"302",2024,41368,"C.C.Pedal Sports","Men's Junior"
"303",2024,41168,"C.C.Pego i les Valls","Men's Junior"
"304",2024,39545,"C.C.Périgueux-Dordogne","Men's Junior"
"305",2024,41039,"C.C.Polop","Men's Junior"
"306",2024,41038,"C.C.Polop","Men's Junior"
"307",2024,40910,"C.C.Puerto Varas","Men's Junior"
"308",2024,41132,"C.C.Puig Campana del Finestrat","Men's Junior"
"309",2024,41145,"C.C.Rodriguez","Men's Junior"
"310",2024,41263,"C.C.Vauclinois","Men's Junior"
"311",2024,41015,"C.D.Montiz","Men's Junior"
"312",2024,41014,"C.D.Montiz","Men's Junior"
"313",2024,41228,"C.D.R-Telecom","Men's Junior"
"314",2024,41082,"C.D.Seven Pro Cycling","Men's Junior"
"315",2024,41045,"C.D.Yourbike-ULB-Sport","Men's Junior"
"316",2024,41083,"C.D.Z2 Bike","Men's Junior"
"317",2024,41018,"C.E.Triasport","Men's Junior"
"318",2024,41199,"C.S.Progreso Canelones","Men's Junior"
"319",2024,40321,"Caja Rural-Alea","Men's Junior"
"320",2024,40854,"Camden C.C","Men's Junior"
"321",2024,40800,"Camimpeg-Carbomart DT","Men's Junior"
"322",2024,40938,"Caminos de Omar","Men's Junior"
"323",2024,40503,"Campana Imballaggi Geo&amp;Tex Trentino","Men's Junior"
"324",2024,40877,"Canberra C.C","Men's Junior"
"325",2024,40891,"Capacho Darias","Men's Junior"
"326",2024,40682,"Carabobo Team","Men's Junior"
"327",2024,40945,"Carithos CT","Men's Junior"
"328",2024,40827,"Carnegie Caulfield Cycling Club","Men's Junior"
"329",2024,40432,"CC Bourg-Blanc","Men's Junior"
"330",2024,39352,"CC Etupes","Men's Junior"
"331",2024,40431,"CC Mainsat Evaux","Men's Junior"
"332",2024,39354,"CC Nogent-sur-Oise","Men's Junior"
"333",2024,37054,"CC Plancoëtin","Men's Junior"
"334",2024,40429,"CC Varennes-Vauzelles","Men's Junior"
"335",2024,39477,"CC Villeneuve Saint-Germain","Men's Junior"
"336",2024,41147,"CCS Barrio Artigas de 33","Men's Junior"
"337",2024,41079,"CEC Lleida","Men's Junior"
"338",2024,41273,"Central Gauteng","Men's Junior"
"339",2024,41046,"Cermec Sporade Campionisimo","Men's Junior"
"340",2024,40995,"Chandigarh","Men's Junior"
"341",2024,39435,"Charvieu-Chavagneux IC","Men's Junior"
"342",2024,40683,"Ciclismo de Politachira","Men's Junior"
"343",2024,41363,"Ciclismo Las Rastras","Men's Junior"
"344",2024,40898,"Ciclismo Rio Cruces","Men's Junior"
"345",2024,40617,"Ciclismo Tupungato","Men's Junior"
"346",2024,40944,"Ciclo Cafe Mena","Men's Junior"
"347",2024,41218,"Ciclo.com","Men's Junior"
"348",2024,41041,"Ciclos Sabater","Men's Junior"
"349",2024,40817,"Ciel Bleu Kanoya","Men's Junior"
"350",2024,40935,"City Bikes Miami","Men's Junior"
"351",2024,41050,"City Bikes Team","Men's Junior"
"352",2024,40427,"CL Barlin","Men's Junior"
"353",2024,40821,"CLN Wiawis","Men's Junior"
"354",2024,41219,"Club Al-Ittifaq","Men's Junior"
"355",2024,41220,"Club Bahlaa","Men's Junior"
"356",2024,41143,"Club Matadero Pando","Men's Junior"
"357",2024,41146,"Club San Isidro ","Men's Junior"
"358",2024,41047,"Club Uptaiet-Inv.Alexander","Men's Junior"
"359",2024,40922,"CNP Bocas del Cufré","Men's Junior"
"360",2024,41253,"Complejo Bike","Men's Junior"
"361",2024,40968,"Construzea","Men's Junior"
"362",2024,41251,"Continental","Men's Junior"
"363",2024,40802,"Controlpack-Badia","Men's Junior"
"364",2024,41226,"Corp.Plateado","Men's Junior"
"365",2024,40746,"Couplands Booths Group","Men's Junior"
"366",2024,41288,"Cow Gumma","Men's Junior"
"367",2024,41305,"CR3W","Men's Junior"
"368",2024,39481,"CR4C Roanne","Men's Junior"
"369",2024,40259,"Crabbe-Dstny","Men's Junior"
"370",2024,40753,"CRC Limoges 87","Men's Junior"
"371",2024,41366,"CRC Team","Men's Junior"
